GEO.id2,HC01_EST_VC01,HC02_EST_VC01,HC03_EST_VC01,HC04_EST_VC01,,,,,
Id2,Total; Estimate; Workers 16 years and over,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over",Public transportation (excluding taxicab); Estimate; Workers 16 years and over,,,,,
2875,268,255,13,0,,,,,
2876,202,202,0,0,,,,,
2878,8076,6883,819,59,,,,,
2879,9829,8269,510,159,,,,,
2881,3174,1950,248,75,,,,,
2882,7105,6196,379,76,,,,,
2885,5399,4424,434,183,,,,,
2886,14024,12042,1051,218,,,,,
2888,10510,9129,1106,79,,,,,
2889,14318,12906,844,141,,,,,
2891,10419,8684,909,103,,,,,
2892,2365,2033,183,4,,,,,
2893,15055,12477,1557,316,,,,,
2894,471,457,14,0,,,,,
2895,17513,14197,1109,257,,,,,
2896,6097,5253,416,33,,,,,
2898,787,651,123,0,,,,,
2903,5359,2230,209,432,,,,,
2904,13348,10922,1187,434,,,,,
2905,10469,7128,967,996,,,,,
2906,15142,8236,1022,1112,,,,,
2907,11419,7118,2179,1103,,,,,
